data,estacao,ano,mes,horario,feriado,dia_trabalho,clima,quantidade
2011-01-01,inverno,2011,janeiro,0,nao,nao,ensolarado,16
2011-01-01,inverno,2011,janeiro,1,nao,nao,ensolarado,40
2011-01-01,inverno,2011,janeiro,2,nao,nao,ensolarado,32
2011-01-01,inverno,2011,janeiro,3,nao,nao,ensolarado,13
2011-01-01,inverno,2011,janeiro,4,nao,nao,ensolarado,1
2011-01-01,inverno,2011,janeiro,5,nao,nao,nublado,1
2011-01-01,inverno,2011,janeiro,6,nao,nao,ensolarado,2
2011-01-01,inverno,2011,janeiro,7,nao,nao,ensolarado,3
2011-01-01,inverno,2011,janeiro,8,nao,nao,ensolarado,8
2011-01-01,inverno,2011,janeiro,9,nao,nao,ensolarado,14
2011-01-01,inverno,2011,janeiro,10,nao,nao,ensolarado,36
2011-01-01,inverno,2011,janeiro,11,nao,nao,ensolarado,56
2011-01-01,inverno,2011,janeiro,12,nao,nao,ensolarado,84
2011-01-01,inverno,2011,janeiro,13,nao,nao,nublado,94
2011-01-01,inverno,2011,janeiro,14,nao,nao,nublado,106
2011-01-01,inverno,2011,janeiro,15,nao,nao,nublado,110
2011-01-01,inverno,2011,janeiro,16,nao,nao,nublado,93
2011-01-01,inverno,2011,janeiro,17,nao,nao,nublado,67
2011-01-01,inverno,2011,janeiro,18,nao,nao,garoa,35
2011-01-01,inverno,2011,janeiro,19,nao,nao,garoa,37
2011-01-01,inverno,2011,janeiro,20,nao,nao,nublado,36
2011-01-01,inverno,2011,janeiro,21,nao,nao,nublado,34
2011-01-01,inverno,2011,janeiro,22,nao,nao,nublado,28
2011-01-01,inverno,2011,janeiro,23,nao,nao,nublado,39
2011-01-02,inverno,2011,janeiro,0,nao,nao,nublado,17
2011-01-02,inverno,2011,janeiro,1,nao,nao,nublado,17
2011-01-02,inverno,2011,janeiro,2,nao,nao,nublado,9
2011-01-02,inverno,2011,janeiro,3,nao,nao,nublado,6
2011-01-02,inverno,2011,janeiro,4,nao,nao,nublado,3
2011-01-02,inverno,2011,janeiro,6,nao,nao,garoa,2
2011-01-02,inverno,2011,janeiro,7,nao,nao,nublado,1
2011-01-02,inverno,2011,janeiro,8,nao,nao,garoa,8
2011-01-02,inverno,2011,janeiro,9,nao,nao,nublado,20
2011-01-02,inverno,2011,janeiro,10,nao,nao,nublado,53
2011-01-02,inverno,2011,janeiro,11,nao,nao,nublado,70
2011-01-02,inverno,2011,janeiro,12,nao,nao,nublado,93
2011-01-02,inverno,2011,janeiro,13,nao,nao,nublado,75
2011-01-02,inverno,2011,janeiro,14,nao,nao,garoa,59
2011-01-02,inverno,2011,janeiro,15,nao,nao,garoa,74
2011-01-02,inverno,2011,janeiro,16,nao,nao,garoa,76
2011-01-02,inverno,2011,janeiro,17,nao,nao,ensolarado,65
2011-01-02,inverno,2011,janeiro,18,nao,nao,nublado,53
2011-01-02,inverno,2011,janeiro,19,nao,nao,ensolarado,30
2011-01-02,inverno,2011,janeiro,20,nao,nao,ensolarado,22
2011-01-02,inverno,2011,janeiro,21,nao,nao,ensolarado,31
2011-01-02,inverno,2011,janeiro,22,nao,nao,ensolarado,9
2011-01-02,inverno,2011,janeiro,23,nao,nao,ensolarado,8
2011-01-03,inverno,2011,janeiro,0,nao,sim,ensolarado,5
2011-01-03,inverno,2011,janeiro,1,nao,sim,ensolarado,2
2011-01-03,inverno,2011,janeiro,4,nao,sim,ensolarado,1
2011-01-03,inverno,2011,janeiro,5,nao,sim,ensolarado,3
2011-01-03,inverno,2011,janeiro,6,nao,sim,ensolarado,30
2011-01-03,inverno,2011,janeiro,7,nao,sim,ensolarado,64
2011-01-03,inverno,2011,janeiro,8,nao,sim,ensolarado,154
2011-01-03,inverno,2011,janeiro,9,nao,sim,ensolarado,88
2011-01-03,inverno,2011,janeiro,10,nao,sim,ensolarado,44
2011-01-03,inverno,2011,janeiro,11,nao,sim,ensolarado,51
2011-01-03,inverno,2011,janeiro,12,nao,sim,ensolarado,61
2011-01-03,inverno,2011,janeiro,13,nao,sim,ensolarado,61
2011-01-03,inverno,2011,janeiro,14,nao,sim,ensolarado,77
2011-01-03,inverno,2011,janeiro,15,nao,sim,ensolarado,72
2011-01-03,inverno,2011,janeiro,16,nao,sim,ensolarado,76
2011-01-03,inverno,2011,janeiro,17,nao,sim,ensolarado,157
2011-01-03,inverno,2011,janeiro,18,nao,sim,ensolarado,157
2011-01-03,inverno,2011,janeiro,19,nao,sim,ensolarado,110
2011-01-03,inverno,2011,janeiro,20,nao,sim,ensolarado,52
2011-01-03,inverno,2011,janeiro,21,nao,sim,ensolarado,52
2011-01-03,inverno,2011,janeiro,22,nao,sim,ensolarado,20
2011-01-03,inverno,2011,janeiro,23,nao,sim,ensolarado,12
2011-01-04,inverno,2011,janeiro,0,nao,sim,ensolarado,5
2011-01-04,inverno,2011,janeiro,1,nao,sim,ensolarado,2
2011-01-04,inverno,2011,janeiro,2,nao,sim,ensolarado,1
2011-01-04,inverno,2011,janeiro,4,nao,sim,ensolarado,2
2011-01-04,inverno,2011,janeiro,5,nao,sim,ensolarado,4
2011-01-04,inverno,2011,janeiro,6,nao,sim,ensolarado,36
2011-01-04,inverno,2011,janeiro,7,nao,sim,ensolarado,94
2011-01-04,inverno,2011,janeiro,8,nao,sim,ensolarado,179
2011-01-04,inverno,2011,janeiro,9,nao,sim,ensolarado,100
2011-01-04,inverno,2011,janeiro,10,nao,sim,nublado,42
2011-01-04,inverno,2011,janeiro,11,nao,sim,ensolarado,57
2011-01-04,inverno,2011,janeiro,12,nao,sim,ensolarado,78
2011-01-04,inverno,2011,janeiro,13,nao,sim,ensolarado,97
2011-01-04,inverno,2011,janeiro,14,nao,sim,ensolarado,63
2011-01-04,inverno,2011,janeiro,15,nao,sim,ensolarado,65
2011-01-04,inverno,2011,janeiro,16,nao,sim,ensolarado,83
2011-01-04,inverno,2011,janeiro,17,nao,sim,ensolarado,212
2011-01-04,inverno,2011,janeiro,18,nao,sim,ensolarado,182
2011-01-04,inverno,2011,janeiro,19,nao,sim,ensolarado,112
2011-01-04,inverno,2011,janeiro,20,nao,sim,ensolarado,54
2011-01-04,inverno,2011,janeiro,21,nao,sim,ensolarado,48
2011-01-04,inverno,2011,janeiro,22,nao,sim,ensolarado,35
2011-01-04,inverno,2011,janeiro,23,nao,sim,ensolarado,11
2011-01-05,inverno,2011,janeiro,0,nao,sim,ensolarado,6
2011-01-05,inverno,2011,janeiro,1,nao,sim,ensolarado,6
2011-01-05,inverno,2011,janeiro,2,nao,sim,ensolarado,2
2011-01-05,inverno,2011,janeiro,4,nao,sim,ensolarado,2
2011-01-05,inverno,2011,janeiro,5,nao,sim,ensolarado,3
2011-01-05,inverno,2011,janeiro,6,nao,sim,ensolarado,33
2011-01-05,inverno,2011,janeiro,7,nao,sim,ensolarado,88
2011-01-05,inverno,2011,janeiro,8,nao,sim,ensolarado,195
2011-01-05,inverno,2011,janeiro,9,nao,sim,ensolarado,115
2011-01-05,inverno,2011,janeiro,10,nao,sim,ensolarado,57
2011-01-05,inverno,2011,janeiro,11,nao,sim,ensolarado,46
2011-01-05,inverno,2011,janeiro,12,nao,sim,ensolarado,79
2011-01-05,inverno,2011,janeiro,13,nao,sim,ensolarado,71
2011-01-05,inverno,2011,janeiro,14,nao,sim,ensolarado,62
2011-01-05,inverno,2011,janeiro,15,nao,sim,ensolarado,62
2011-01-05,inverno,2011,janeiro,16,nao,sim,ensolarado,89
2011-01-05,inverno,2011,janeiro,17,nao,sim,ensolarado,190
2011-01-05,inverno,2011,janeiro,18,nao,sim,ensolarado,169
2011-01-05,inverno,2011,janeiro,19,nao,sim,ensolarado,132
2011-01-05,inverno,2011,janeiro,20,nao,sim,ensolarado,89
2011-01-05,inverno,2011,janeiro,21,nao,sim,ensolarado,43
2011-01-05,inverno,2011,janeiro,22,nao,sim,ensolarado,42
2011-01-05,inverno,2011,janeiro,23,nao,sim,ensolarado,19
2011-01-06,inverno,2011,janeiro,0,nao,sim,ensolarado,11
2011-01-06,inverno,2011,janeiro,1,nao,sim,ensolarado,4
2011-01-06,inverno,2011,janeiro,2,nao,sim,ensolarado,2
